Mníšek pod Brdy | 252 10 
Nučice | 252 16 
Ohrobec | 252 45 
Okoř | 252 64 
Okrouhlo | 254 01 
Ořech | 252 25 
Petrov | 252 81 
Pohoří | 254 01 
Průhonice | 252 43 
Psáry | 252 44 
Ptice | 252 18 
Roblín | 252 26 
Roztoky | 252 63 
Rudná | 252 19 
Řevnice | 252 30 
Řitka | 252 03 
Slapy | 252 08 
Statenice | 252 62 
Středokluky | 252 68 
Svrkyně | 252 64 
Štěchovice | 252 07 
Tachlovice | 252 17 
Trnová | 252 10 
Třebotov | 252 26 
Tuchoměřice | 252 67 
Tursko | 252 65 
Úholičky | 252 64 
Úhonice | 252 18 
Únětice | 252 62 
Velké Přílepy | 252 64 
Vestec | 252 42 
Vonoklasy | 252 28 
Vrané nad Vltavou | 252 46 
Všenory | 252 31 
Zahořany | 252 10 
Zbuzany | 252 25 
Zlatníky-Hodkovice | 252 41 
Zvole | 252 45
- 
Bezděkov pod Třemšínem | 262 42 
Bohostice | 262 31 
Bohutín | 262 41 
Borotice | 262 15 
Bratkovice | 262 23 
Brdy | 262 23 
Březnice | 262 72 
Buková u Příbramě | 262 23 
Bukovany | 262 72 
Cetyně | 262 31 
Čenkov | 262 23 
Čím | 262 03 
Daleké Dušníky | 263 01 
Dlouhá Lhota | 263 01 
Dobříš | 263 01 
Dolní Hbity | 262 62 
Drahenice | 262 85 
Drahlín | 261 01 
Drásov | 261 01 
Drevníky | 263 01 
Drhovy | 263 01 
Dubenec | 261 01 
Dublovice | 262 51 
Dubno | 261 01 
Háje | 261 01 
Hluboš | 262 22 
Hlubyně | 262 72 
Horčápsko | 262 72 
Hřiměždice | 262 14 
Hudčice | 262 72 
Hvožďany | 262 44 
Chotilsko | 262 03 
Chrást | 262 72 
Chraštice | 262 72 
Jablonná | 262 63 
Jesenice | 264 01 
Jince | 262 23 
Kamýk nad Vltavou | 262 63 
Klučenice | 262 56 
Kňovice | 264 01 
Korkyně | 262 06 
Kosova Hora | 262 91 
Kotenčice | 262 23 
Koupě | 262 72 
Kozárovice | 262 84 
Krásná Hora nad Vltavou | 262 56 
Křepenice | 264 01 
Křešín | 262 23 
Láz | 262 41 
Lazsko | 262 31 
Lešetice | 262 31 
Lhota u Příbramě | 261 01 
Malá Hraštice | 262 03 
Milešov | 262 56 
Milín | 261 01 
Modřovice | 262 42 
Mokrovraty | 262 03 
Nalžovice | 262 93 
Narysov | 261 01 
Nečín | 262 13 
Nedrahovice | 264 01 
Nechvalice | 264 01 
Nepomuk | 262 42 
Nestrašovice | 262 72 
Nová Ves pod Pleší | 262 04 
Nové Dvory | 262 03 
Nový Knín | 262 03 
Občov | 261 01 
Obecnice | 262 21 
Obory | 263 01 
Obořiště | 262 12 
Ohrazenice | 262 23 
Osečany | 264 01 
Ostrov | 262 72 
Ouběnice | 263 01 
Pečice | 262 32 
Petrovice | 262 55 
Pičín | 262 25 
Počaply | 262 72 
Počepice | 262 55 
Podlesí | 261 01 
Prosenická Lhota | 264 01 
Příbram | 261 01 
Příčovy | 264 01 
Radětice | 262 31 
Radíč | 264 01 
Rosovice | 262 11 
Rožmitál pod Třemšínem | 262 42 
Rybníky | 263 01 
Sádek | 261 01 
Sedlčany | 264 01 
Sedlec-Prčice | 257 91 
Sedlice | 262 42 
Smolotely | 262 63 
Solenice | 262 63 
Stará Huť | 262 02 
Starosedlský Hrádek | 262 72 
Suchodol | 261 01 
Svaté Pole | 263 01 
Svatý Jan | 262 56 
Svojšice | 262 72 
Štětkovice | 264 01 
Těchařovice | 262 31 
Tochovice | 262 81 
Trhové Dušníky | 261 01 
Třebsko | 262 42 
Tušovice | 262 72 
Velká Lečice | 262 05 
